"","text","favoriteCount","replyToSN","screenName","retweetCount","date.stamp","weekday"
"4939"," 칭따오글로벌 공계입니다 :) 칭따오맥주축제 이벤트 참여하실래요?������ 칭따오를 즐기는 사진 또는 동영상을 해시태그 TsingtaoCenturyClub 와 함께 올려주세요. 아니면 이벤트링크… ",0,"xo_cooing","tsingtao",0,2017-06-27 06:33:57,"Tues"
"4940","  칭따오글로벌 공계입니다 :) 칭따오맥주축제 이벤트 참여하실래요?������ 칭따오를 즐기는 사진 또는 동영상을 해시태그 TsingtaoCenturyClub 와 함께 올… ",0,"nokohouse17","tsingtao",0,2017-06-27 06:33:52,"Tues"
"4941"," 칭따오글로벌 공계입니다 :) 칭따오맥주축제 이벤트 참여하실래요?������ 칭따오를 즐기는 사진 또는 동영상을 해시태그 TsingtaoCenturyClub 와 함께 올려주세요. 아니면 이벤트링크에… ",0,"cjhj2000","tsingtao",0,2017-06-27 06:33:47,"Tues"
"4942"," 칭따오글로벌 공계입니다 :) 칭따오맥주축제 이벤트 참여하실래요?������ 칭따오를 즐기는 사진 또는 동영상을 해시태그 TsingtaoCenturyClub 와 함께 올려주세요. 아니면 이벤트링… ",0,"venjule777","tsingtao",0,2017-06-27 06:33:39,"Tues"
"4943"," 칭따오글로벌 공계입니다 :) 칭따오맥주축제 이벤트 참여하실래요?������ 칭따오를 즐기는 사진 또는 동영상을 해시태그 TsingtaoCenturyClub 와 함께 올려주세요. 아니면 이벤트링크에… ",0,"ku_taron","tsingtao",0,2017-06-27 06:33:33,"Tues"
"4944"," Keen eye ������",0,"willadam","tsingtao",0,2017-06-26 08:23:02,"Mon"
"4945","Cheers (Kippis) from Finland! ",6,NA,"tsingtao",1,2017-06-26 04:19:45,"Mon"
"4946","  We're glad you think so, Chris :)",0,"Chris_Carr5","tsingtao",0,2017-06-26 04:04:18,"Mon"
"4947","  Enjoy your trip!",1,"mcleanmaddy","tsingtao",0,2017-06-26 04:04:08,"Mon"
"4948"," Voted World's Best Smelling Beer of 2017 by acclaimed beer smeller, Kraljski. I'll take it.",0,"kraljski","tsingtao",0,2017-06-26 04:02:17,"Mon"
"4949"," Amen to that!",0,"oshn777","tsingtao",0,2017-06-26 04:00:49,"Mon"
"4950"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you could… ",0,"kevinhuytar","tsingtao",0,2017-06-26 03:47:07,"Mon"
"4951"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you could w… ",0,"Cathy_Vee","tsingtao",0,2017-06-26 03:46:53,"Mon"
"4952"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you co… ",0,"MagdaGuerrero5","tsingtao",0,2017-06-26 03:46:33,"Mon"
"4953"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you could win… ",0,"sun82na","tsingtao",0,2017-06-26 03:46:27,"Mon"
"4954"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you could… ",0,"PeterKrauel","tsingtao",0,2017-06-26 03:46:20,"Mon"
"4955"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you could win… ",0,"Yany06","tsingtao",0,2017-06-26 03:45:51,"Mon"
"4956"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you cou… ",0,"Flipthabossdj","tsingtao",0,2017-06-26 03:45:13,"Mon"
"4957"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you cou… ",0,"StuartinDubai","tsingtao",0,2017-06-26 03:45:07,"Mon"
"4958"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you cou… ",0,"Cristian_dilo","tsingtao",0,2017-06-26 03:44:50,"Mon"
"4959"," Submit a photo of yourself enjoying Tsingtao Beer with the hash tag TsingtaoCenturyClub and you coul… ",0,"cto_movidius","tsingtao",0,2017-06-26 03:44:37,"Mon"
"4960"," better go with Tsingtao",1,"HectorKillz","tsingtao",0,2017-06-26 03:33:48,"Mon"
"4961"," I'm..... s-s-soooo...... c-cold!",0,"Iamchaubeyji","tsingtao",0,2017-06-25 09:23:02,"Sun"
"4962","A fresh look should be accompanied by a fresh Tsingtao. ",4,NA,"tsingtao",0,2017-06-24 03:00:26,"Sat"
"4963"," ヾ(๑╹◡╹)ﾉ"" 이벤트에는 참여하셨나요?",1,"chlyo_jg","tsingtao",0,2017-06-23 06:48:07,"Fri"
"4964"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"andr3w2011","tsingtao",0,2017-06-22 03:49:07,"Thurs"
"4965"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"HRK_0526","tsingtao",0,2017-06-21 05:57:27,"Wed"
"4966"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"NavikN","tsingtao",0,2017-06-21 05:57:09,"Wed"
"4967"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"DuqueCshe","tsingtao",0,2017-06-21 05:56:53,"Wed"
"4968"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"guapopilot007","tsingtao",0,2017-06-21 05:56:47,"Wed"
"4969"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"ChefKeeChan","tsingtao",0,2017-06-21 05:56:31,"Wed"
"4970"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"gowiden","tsingtao",0,2017-06-21 05:56:04,"Wed"
"4971"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"salsa4u2003","tsingtao",0,2017-06-21 05:55:47,"Wed"
"4972"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"ThomasOutt","tsingtao",0,2017-06-21 05:55:39,"Wed"
"4973"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"MikeFashe","tsingtao",0,2017-06-21 05:55:20,"Wed"
"4974"," Want to win a free trip to the Tsingtao Beer Festival? Share a photo or video with the hashtag… ",0,"CarolineJBecker","tsingtao",0,2017-06-21 05:47:33,"Wed"
